binary_name, kernel_name, rows, cols, time, w, q, fpc, avg_mcost_time, sppp
pm-v-gcc-O3-time-mcost,simd_v3,150,180,10.2574,58800,35525,1.85955,13926,32
pm-v-gcc-O3-time-mcost,simd_v3,225,270,24.1844,58800,35525,3.69161,14275.5,32
pm-v-gcc-O3-time-mcost,simd_v3,300,360,44.7329,58800,35525,3.55547,14598.5,32
pm-v-gcc-O3-time-mcost,simd_v3,375,450,72.1222,58800,35525,2.57818,14947.4,32
pm-v-gcc-O3-time-mcost,simd_v3,450,540,103.819,58800,35525,2.82329,14954.1,32
pm-v-gcc-O3-time-mcost,simd_v3,600,720,182.69,58800,35525,3.55248,15146.4,32
pm-v-gcc-O3-time-mcost,simd_v3,750,900,273.214,58800,35525,3.77061,15235.3,32
pm-v-gcc-O3-time-mcost,simd_v3,900,1080,411.403,58800,35525,3.74162,15301.3,32
pm-v-gcc-O3-time-mcost,simd_v3,1050,1260,563.558,58800,35525,3.79808,15352.5,32
pm-v-gcc-O3-time-mcost,simd_v3,1275,1530,817.044,58800,35525,3.80725,15417.1,32
pm-v-gcc-O3-time-mcost,simd_v3,1500,1800,1151.68,58800,35525,3.74935,15473.9,32
pm-v-gcc-O3-time-mcost,simd_v17,150,180,7.43726,58800,35525,2.40267,10110.2,32
pm-v-gcc-O3-time-mcost,simd_v17,225,270,17.2838,58800,35525,4.05473,10263.3,32
pm-v-gcc-O3-time-mcost,simd_v17,300,360,31.8177,58800,35525,3.17152,10514.8,32
pm-v-gcc-O3-time-mcost,simd_v17,375,450,50.1758,58800,35525,3.46494,10589.7,32
pm-v-gcc-O3-time-mcost,simd_v17,450,540,72.8341,58800,35525,5.49862,10771.5,32
pm-v-gcc-O3-time-mcost,simd_v17,600,720,125.258,58800,35525,4.92739,10829,32
pm-v-gcc-O3-time-mcost,simd_v17,750,900,183.224,58800,35525,5.339,10857.4,32
pm-v-gcc-O3-time-mcost,simd_v17,900,1080,272.975,58800,35525,5.35607,10929.3,32
pm-v-gcc-O3-time-mcost,simd_v17,1050,1260,369.054,58800,35525,5.2892,10996.8,32
pm-v-gcc-O3-time-mcost,simd_v17,1275,1530,539.272,58800,35525,5.14544,11466.5,32
pm-v-gcc-O3-time-mcost,simd_v17,1500,1800,702.256,58800,35525,5.3733,10856.9,32
pm-v-gcc-O3-time-mcost,simd_v21,150,180,10.9567,58800,35525,1.72637,15361.9,32
pm-v-gcc-O3-time-mcost,simd_v21,225,270,26.2462,58800,35525,1.76583,16021.7,32
pm-v-gcc-O3-time-mcost,simd_v21,300,360,47.2545,58800,35525,1.96902,16042.7,32
pm-v-gcc-O3-time-mcost,simd_v21,375,450,74.1465,58800,35525,2.96824,16076.4,32
pm-v-gcc-O3-time-mcost,simd_v21,450,540,106.824,58800,35525,2.61473,16226.8,32
pm-v-gcc-O3-time-mcost,simd_v21,600,720,183.86,58800,35525,3.5081,16343.9,32
pm-v-gcc-O3-time-mcost,simd_v21,750,900,269.105,58800,35525,3.46833,16426.1,32
pm-v-gcc-O3-time-mcost,simd_v21,900,1080,400.717,58800,35525,3.50336,16519.8,32
pm-v-gcc-O3-time-mcost,simd_v21,1050,1260,541.619,58800,35525,2.55133,16615.9,32
pm-v-gcc-O3-time-mcost,simd_v21,1275,1530,756.35,58800,35525,3.46043,16567.6,32
pm-v-gcc-O3-time-mcost,simd_v21,1500,1800,1040.12,58800,35525,3.46778,16578.32,5
