binary_name, kernel_name, rows, cols, time, w, q, fpc, sppp
pm-v-gcc-O3,baseline,188,225,118.554,58800,35525,0.493408,32
pm-v-gcc-O3,baseline,375,450,513.336,58800,35525,0.564657,32
pm-v-gcc-O3,baseline,750,900,1858.04,58800,35525,0.575641,32
pm-v-gcc-O3,baseline,1500,1800,7059.28,58800,35525,0.392665,32
pm-v-gcc-O3,rgba,188,225,40.1682,58800,35525,1.29343,32
pm-v-gcc-O3,rgba,375,450,172.884,58800,35525,1.50353,32
pm-v-gcc-O3,rgba,750,900,642.695,58800,35525,1.49421,32
pm-v-gcc-O3,rgba,1500,1800,2594.47,58800,35525,1.49242,32
pm-v-gcc-O3,simd_v10,188,225,14.297,58800,35525,4.08594,32
pm-v-gcc-O3,simd_v10,375,450,62.5411,58800,35525,4.38103,32
pm-v-gcc-O3,simd_v10,750,900,240.668,58800,35525,4.5221,32
pm-v-gcc-O3,simd_v10,1500,1800,1024.01,58800,35525,4.54198,32
pm-v-gcc-O3,simd_v7,188,225,18.0166,58800,35525,3.12853,32
pm-v-gcc-O3,simd_v7,375,450,78.1426,58800,35525,3.48096,32
pm-v-gcc-O3,simd_v7,750,900,299.703,58800,35525,3.40666,32
pm-v-gcc-O3,simd_v7,1500,1800,1258.9,58800,35525,3.40727,32
pm-v-gcc-O3,weight_precomputation_fast_exp,188,225,43.4764,58800,35525,1.21981,32
pm-v-gcc-O3,weight_precomputation_fast_exp,375,450,186.512,58800,35525,1.4133,32
pm-v-gcc-O3,weight_precomputation_fast_exp,750,900,704.155,58800,35525,1.4094,32
pm-v-gcc-O3,weight_precomputation_fast_exp,1500,1800,2844.34,58800,35525,1.40853,32
